exp,freq_var,group,subj,x,trial,y
3,variable,fixed,1,0,1,1
3,variable,fixed,1,0,2,0
3,variable,fixed,1,0,3,0
3,variable,fixed,1,0,4,1
3,variable,fixed,1,0,5,1
3,variable,fixed,1,0,6,0
3,variable,fixed,1,0,7,1
3,variable,fixed,1,0,8,1
3,variable,fixed,1,0,9,1
3,variable,fixed,1,0,10,1
3,variable,fixed,1,0,11,1
3,variable,fixed,1,0,12,1
3,variable,fixed,1,1,1,1
3,variable,fixed,1,1,2,0
3,variable,fixed,1,1,3,0
3,variable,fixed,1,1,4,0
3,variable,fixed,1,1,5,0
3,variable,fixed,1,1,6,0
3,variable,fixed,1,1,7,1
3,variable,fixed,1,1,8,1
3,variable,fixed,1,1,9,1
3,variable,fixed,1,1,10,1
3,variable,fixed,1,1,11,1
3,variable,fixed,1,1,12,1
3,variable,fixed,1,2,1,0
3,variable,fixed,1,2,2,1
3,variable,fixed,1,2,3,0
3,variable,fixed,1,2,4,1
3,variable,fixed,1,2,5,1
3,variable,fixed,1,2,6,1
3,variable,fixed,1,2,7,1
3,variable,fixed,1,2,8,1
3,variable,fixed,1,2,9,1
3,variable,fixed,1,2,10,0
3,variable,fixed,1,2,11,0
3,variable,fixed,1,2,12,0
3,variable,fixed,1,3,1,0
3,variable,fixed,1,3,2,1
3,variable,fixed,1,3,3,0
3,variable,fixed,1,3,4,0
3,variable,fixed,1,3,5,1
3,variable,fixed,1,3,6,1
3,variable,fixed,1,3,7,1
3,variable,fixed,1,3,8,1
3,variable,fixed,1,3,9,1
3,variable,fixed,1,3,10,0
3,variable,fixed,1,3,11,1
3,variable,fixed,1,3,12,0
3,variable,fixed,1,4,1,1
3,variable,fixed,1,4,2,1
3,variable,fixed,1,4,3,0
3,variable,fixed,1,4,4,0
3,variable,fixed,1,4,5,1
3,variable,fixed,1,4,6,1
3,variable,fixed,1,4,7,0
3,variable,fixed,1,4,8,1
3,variable,fixed,1,4,9,0
3,variable,fixed,1,4,10,0
3,variable,fixed,1,4,11,0
3,variable,fixed,1,4,12,0
3,variable,fixed,1,5,1,1
3,variable,fixed,1,5,2,1
3,variable,fixed,1,5,3,1
