subj,,cb,trialNum,phase,x,group,y
2058,diff,2,1,2,11,linear,100
2058,diff,2,2,2,6,linear,0
2058,diff,2,3,2,8,linear,100
2058,diff,2,4,2,1,linear,48.16826856
2058,diff,2,5,2,7,linear,100
2058,diff,2,6,2,9,linear,99.95821145
2058,diff,2,7,2,10,linear,76.4869759
2058,diff,2,8,2,3,linear,41.41245299
2058,diff,2,9,2,4,linear,0.362167433
2058,diff,2,10,2,2,linear,48.53043599
2058,diff,2,11,2,5,linear,3.217718345
2062,diff,2,1,2,4,linear,0.046511628
2062,diff,2,2,2,11,linear,90.67906977
2062,diff,2,3,2,1,linear,28.20465116
2062,diff,2,4,2,9,linear,100
2062,diff,2,5,2,2,linear,18.7627907
2062,diff,2,6,2,5,linear,0
2062,diff,2,7,2,7,linear,99.95348837
2062,diff,2,8,2,8,linear,99.95348837
2062,diff,2,9,2,10,linear,100
2062,diff,2,10,2,6,linear,0
2062,diff,2,11,2,3,linear,9.088372093
2066,diff,2,1,2,5,linear,9.809390981
2066,diff,2,2,2,8,linear,69.51185495
2066,diff,2,3,2,10,linear,38.72617387
2066,diff,2,4,2,11,linear,38.72617387
2066,diff,2,5,2,6,linear,0.278940028
2066,diff,2,6,2,1,linear,49.13063691
2066,diff,2,7,2,7,linear,58.70757787
2066,diff,2,8,2,2,linear,29.05625291
2066,diff,2,9,2,9,linear,38.59600186
2066,diff,2,10,2,3,linear,28.74012087
2066,diff,2,11,2,4,linear,28.74012087
2070,diff,2,1,2,4,linear,0
2070,diff,2,2,2,10,linear,0
2070,diff,2,3,2,11,linear,48.60335196
2070,diff,2,4,2,5,linear,1.229050279
2070,diff,2,5,2,7,linear,99.95344507
2070,diff,2,6,2,6,linear,90.57728119
2070,diff,2,7,2,8,linear,90.62383613
2070,diff,2,8,2,3,linear,0
2070,diff,2,9,2,2,linear,0.223463687
2070,diff,2,10,2,9,linear,48.55679702
2070,diff,2,11,2,1,linear,0.176908752
2078,diff,2,1,2,6,linear,70.35688274
2078,diff,2,2,2,5,linear,28.28577104
2078,diff,2,3,2,8,linear,90.55154605
2078,diff,2,4,2,3,linear,0.125802821
2078,diff,2,5,2,11,linear,80.32179037
2078,diff,2,6,2,10,linear,81.48712176
2078,diff,2,7,2,7,linear,49.30146329
2078,diff,2,8,2,4,linear,0.026484804
2078,diff,2,9,2,1,linear,0.092696815
2078,diff,2,10,2,9,linear,80.58001722
2078,diff,2,11,2,2,linear,0.05959081
2080,diff,1,1,2,5,linear,2.068327496
2080,diff,1,2,2,2,linear,0
2080,diff,1,3,2,9,linear,100
2080,diff,1,4,2,8,linear,92.28176832
2080,diff,1,5,2,7,linear,77.87616467
2080,diff,1,6,2,3,linear,2.874512654
2080,diff,1,7,2,10,linear,76.45542853
2080,diff,1,8,2,6,linear,52.82495209
2080,diff,1,9,2,11,linear,100
2080,diff,1,10,2,1,linear,1.585938016
2080,diff,1,11,2,4,linear,20.07533206
2100,diff,1,1,2,7,linear,90.91811086
2100,diff,1,2,2,5,linear,9.075274507
2100,diff,1,3,2,6,linear,90.81889139
2100,diff,1,4,2,11,linear,70.3267628
2100,diff,1,5,2,2,linear,0
2100,diff,1,6,2,9,linear,90.66014023
2100,diff,1,7,2,4,linear,8.784230718
2100,diff,1,8,2,10,linear,90.62706707
2100,diff,1,9,2,1,linear,9.657362085
2100,diff,1,10,2,3,linear,8.817303876
2100,diff,1,11,2,8,linear,80.67204657
2118,diff,2,1,2,8,linear,90.76198687
2118,diff,2,2,2,1,linear,3.335764971
2118,diff,2,3,2,5,linear,39.89654486
2118,diff,2,4,2,9,linear,100
2118,diff,2,5,2,2,linear,0
2118,diff,2,6,2,11,linear,99.90052391
2118,diff,2,7,2,3,linear,9.715498375
2118,diff,2,8,2,4,linear,42.74819285
2118,diff,2,9,2,10,linear,94.58850056
2118,diff,2,10,2,7,linear,66.58266463
2118,diff,2,11,2,6,linear,57.21864845
2120,diff,1,1,2,1,linear,0
2120,diff,1,2,2,9,linear,100
2120,diff,1,3,2,10,linear,100
2120,diff,1,4,2,4,linear,28.26677263
2120,diff,1,5,2,2,linear,0.033114776
2120,diff,1,6,2,7,linear,100
2120,diff,1,7,2,8,linear,99.25160607
2120,diff,1,8,2,3,linear,0.066229552
