subj,group,cb,trialNum,trialType,x,y,dimValR
9003,distant neg,1,1,GSCol,8,100,8
9003,distant neg,1,2,GSCol,9,100,9
9003,distant neg,1,3,GSCol,6,100,6
9003,distant neg,1,4,GSCol,3,64.75,3
9003,distant neg,1,5,GSCol,5,82.25,5
9003,distant neg,1,6,GSCol,2,73.25,2
9003,distant neg,1,7,GSCol,4,85.75,4
9003,distant neg,1,8,GSCol,1,66.5,1
9003,distant neg,1,9,GSCol,10,94.25,10
9003,distant neg,1,10,GSCol,7,100,7
9003,distant neg,1,11,GSCol,11,79.75,11
9006,distant neg,2,1,GSCol,9,97.25,3
9006,distant neg,2,2,GSCol,8,97,4
9006,distant neg,2,3,GSCol,2,23,10
9006,distant neg,2,4,GSCol,11,75.75,1
9006,distant neg,2,5,GSCol,3,24,9
9006,distant neg,2,6,GSCol,6,98.25,6
9006,distant neg,2,7,GSCol,4,22,8
9006,distant neg,2,8,GSCol,10,74.5,2
9006,distant neg,2,9,GSCol,5,6.75,7
9006,distant neg,2,10,GSCol,7,98.5,5
9006,distant neg,2,11,GSCol,1,28.75,11
9009,distant neg,1,1,GSCol,1,82.25,1
9009,distant neg,1,2,GSCol,9,66,9
9009,distant neg,1,3,GSCol,3,93.5,3
9009,distant neg,1,4,GSCol,5,77.75,5
9009,distant neg,1,5,GSCol,6,73.5,6
9009,distant neg,1,6,GSCol,11,15.25,11
9009,distant neg,1,7,GSCol,8,21.5,8
9009,distant neg,1,8,GSCol,2,91,2
9009,distant neg,1,9,GSCol,4,58.25,4
9009,distant neg,1,10,GSCol,10,12.25,10
9009,distant neg,1,11,GSCol,7,23.75,7
9012,distant neg,2,1,GSCol,6,97.5,6
9012,distant neg,2,2,GSCol,11,81.75,1
9012,distant neg,2,3,GSCol,4,89.25,8
9012,distant neg,2,4,GSCol,1,80.25,11
9012,distant neg,2,5,GSCol,8,76.75,4
9012,distant neg,2,6,GSCol,10,62,2
9012,distant neg,2,7,GSCol,2,81.5,10
9012,distant neg,2,8,GSCol,9,31.5,3
9012,distant neg,2,9,GSCol,7,97.75,5
9012,distant neg,2,10,GSCol,5,98.75,7
9012,distant neg,2,11,GSCol,3,87.75,9
9015,distant neg,1,1,GSCol,2,89,2
9015,distant neg,1,2,GSCol,6,100,6
9015,distant neg,1,3,GSCol,8,90,8
9015,distant neg,1,4,GSCol,4,84,4
9015,distant neg,1,5,GSCol,7,91.25,7
9015,distant neg,1,6,GSCol,5,89,5
9015,distant neg,1,7,GSCol,10,78.25,10
9015,distant neg,1,8,GSCol,11,76,11
9015,distant neg,1,9,GSCol,1,68,1
9015,distant neg,1,10,GSCol,9,70.5,9
9015,distant neg,1,11,GSCol,3,74.5,3
9018,distant neg,2,1,GSCol,4,100,8
9018,distant neg,2,2,GSCol,2,76.25,10
9018,distant neg,2,3,GSCol,10,72.25,2
9018,distant neg,2,4,GSCol,7,100,5
9018,distant neg,2,5,GSCol,11,77.75,1
9018,distant neg,2,6,GSCol,1,63,11
9018,distant neg,2,7,GSCol,9,87.25,3
9018,distant neg,2,8,GSCol,6,100,6
9018,distant neg,2,9,GSCol,3,74.75,9
9018,distant neg,2,10,GSCol,5,86,7
9018,distant neg,2,11,GSCol,8,80.5,4
9021,distant neg,1,1,GSCol,2,99.75,2
9021,distant neg,1,2,GSCol,3,99.5,3
9021,distant neg,1,3,GSCol,10,99.5,10
9021,distant neg,1,4,GSCol,9,100,9
9021,distant neg,1,5,GSCol,8,99.75,8
9021,distant neg,1,6,GSCol,7,100,7
9021,distant neg,1,7,GSCol,4,100,4
9021,distant neg,1,8,GSCol,11,100,11
9021,distant neg,1,9,GSCol,6,100,6
9021,distant neg,1,10,GSCol,5,100,5
9021,distant neg,1,11,GSCol,1,99.5,1
9024,distant neg,2,1,GSCol,4,98,8
9024,distant neg,2,2,GSCol,1,90,11
9024,distant neg,2,3,GSCol,7,100,5
9024,distant neg,2,4,GSCol,9,100,3
9024,distant neg,2,5,GSCol,5,100,7
9024,distant neg,2,6,GSCol,11,97,1
9024,distant neg,2,7,GSCol,2,74.75,10
9024,distant neg,2,8,GSCol,6,100,6
9024,distant neg,2,9,GSCol,3,90.5,9
9024,distant neg,2,10,GSCol,8,85.5,4
9024,distant neg,2,11,GSCol,10,77.75,2
9027,distant neg,1,1,GSCol,9,100,9
9027,distant neg,1,2,GSCol,1,78.75,1
9027,distant neg,1,3,GSCol,7,100,7
9027,distant neg,1,4,GSCol,2,0,2
9027,distant neg,1,5,GSCol,6,100,6
9027,distant neg,1,6,GSCol,5,50,5
9027,distant neg,1,7,GSCol,3,0,3
9027,distant neg,1,8,GSCol,4,0,4
9027,distant neg,1,9,GSCol,10,79.75,10
9027,distant neg,1,10,GSCol,8,95,8
9027,distant neg,1,11,GSCol,11,81.5,11
9030,distant neg,2,1,GSCol,7,99.25,5
9030,distant neg,2,2,GSCol,2,44,10
9030,distant neg,2,3,GSCol,8,57.25,4
9030,distant neg,2,4,GSCol,4,44.5,8
9030,distant neg,2,5,GSCol,5,45,7
9030,distant neg,2,6,GSCol,9,45,3
9030,distant neg,2,7,GSCol,3,45,9
9030,distant neg,2,8,GSCol,6,100,6
9030,distant neg,2,9,GSCol,1,46.75,11
9030,distant neg,2,10,GSCol,11,46.75,1
9030,distant neg,2,11,GSCol,10,46.75,2
9033,distant neg,1,1,GSCol,10,9,10
9033,distant neg,1,2,GSCol,1,81,1
9033,distant neg,1,3,GSCol,9,23.5,9
9033,distant neg,1,4,GSCol,4,89.5,4
9033,distant neg,1,5,GSCol,3,88.5,3
9033,distant neg,1,6,GSCol,7,4.25,7
9033,distant neg,1,7,GSCol,6,89.5,6
9033,distant neg,1,8,GSCol,8,91.25,8
9033,distant neg,1,9,GSCol,2,2,2
9033,distant neg,1,10,GSCol,11,86.25,11
9033,distant neg,1,11,GSCol,5,86.75,5
9036,distant neg,2,1,GSCol,1,50.25,11
9036,distant neg,2,2,GSCol,2,49,10
9036,distant neg,2,3,GSCol,6,100,6
9036,distant neg,2,4,GSCol,11,48.5,1
9036,distant neg,2,5,GSCol,9,48,3
9036,distant neg,2,6,GSCol,3,47.75,9
9036,distant neg,2,7,GSCol,10,48,2
9036,distant neg,2,8,GSCol,5,49.75,7
9036,distant neg,2,9,GSCol,4,50,8
9036,distant neg,2,10,GSCol,8,100,4
9036,distant neg,2,11,GSCol,7,100,5
9039,distant neg,1,1,GSCol,10,100,10
9039,distant neg,1,2,GSCol,4,47,4
9039,distant neg,1,3,GSCol,1,46.5,1
9039,distant neg,1,4,GSCol,6,100,6
9039,distant neg,1,5,GSCol,11,47,11
9039,distant neg,1,6,GSCol,7,100,7
9039,distant neg,1,7,GSCol,8,100,8
9039,distant neg,1,8,GSCol,9,51.5,9
9039,distant neg,1,9,GSCol,2,51.75,2
9039,distant neg,1,10,GSCol,5,52.75,5
9039,distant neg,1,11,GSCol,3,49.25,3
9042,distant neg,2,1,GSCol,6,94.75,6
9042,distant neg,2,2,GSCol,2,51,10
9042,distant neg,2,3,GSCol,3,80.75,9
9042,distant neg,2,4,GSCol,9,48.5,3
9042,distant neg,2,5,GSCol,4,69.25,8
9042,distant neg,2,6,GSCol,11,21,1
9042,distant neg,2,7,GSCol,7,32.5,5
9042,distant neg,2,8,GSCol,8,32.5,4
9042,distant neg,2,9,GSCol,5,98.25,7
9042,distant neg,2,10,GSCol,10,35.75,2
9042,distant neg,2,11,GSCol,1,99.25,11
9045,distant neg,1,1,GSCol,10,100,10
9045,distant neg,1,2,GSCol,3,84.5,3
9045,distant neg,1,3,GSCol,4,83.5,4
9045,distant neg,1,4,GSCol,2,50.75,2
9045,distant neg,1,5,GSCol,9,100,9
9045,distant neg,1,6,GSCol,1,72.75,1
9045,distant neg,1,7,GSCol,8,100,8
9045,distant neg,1,8,GSCol,6,100,6
9045,distant neg,1,9,GSCol,7,100,7
9045,distant neg,1,10,GSCol,5,72.25,5
9045,distant neg,1,11,GSCol,11,100,11
9048,distant neg,2,1,GSCol,6,100,6
9048,distant neg,2,2,GSCol,5,100,7
9048,distant neg,2,3,GSCol,2,74,10
9048,distant neg,2,4,GSCol,7,94,5
9048,distant neg,2,5,GSCol,9,97.5,3
9048,distant neg,2,6,GSCol,3,63,9
9048,distant neg,2,7,GSCol,1,51.75,11
9048,distant neg,2,8,GSCol,4,59,8
9048,distant neg,2,9,GSCol,11,80.75,1
9048,distant neg,2,10,GSCol,10,84,2
9048,distant neg,2,11,GSCol,8,100,4
9051,distant neg,1,1,GSCol,6,99.5,6
9051,distant neg,1,2,GSCol,5,91.75,5
9051,distant neg,1,3,GSCol,8,53,8
9051,distant neg,1,4,GSCol,2,53.25,2
9051,distant neg,1,5,GSCol,3,50.5,3
9051,distant neg,1,6,GSCol,4,50.5,4
9051,distant neg,1,7,GSCol,9,50.5,9
9051,distant neg,1,8,GSCol,1,50.5,1
9051,distant neg,1,9,GSCol,10,50.5,10
9051,distant neg,1,10,GSCol,7,98.25,7
9051,distant neg,1,11,GSCol,11,50.75,11
9054,distant neg,2,1,GSCol,1,100,11
9054,distant neg,2,2,GSCol,2,100,10
9054,distant neg,2,3,GSCol,10,100,2
9054,distant neg,2,4,GSCol,4,0,8
9054,distant neg,2,5,GSCol,3,0,9
9054,distant neg,2,6,GSCol,6,100,6
9054,distant neg,2,7,GSCol,9,100,3
9054,distant neg,2,8,GSCol,7,100,5
9054,distant neg,2,9,GSCol,11,100,1
9054,distant neg,2,10,GSCol,8,100,4
9054,distant neg,2,11,GSCol,5,100,7
9057,distant neg,1,1,GSCol,5,91.75,5
9057,distant neg,1,2,GSCol,11,86.75,11
9057,distant neg,1,3,GSCol,6,86.75,6
9057,distant neg,1,4,GSCol,8,86.75,8
9057,distant neg,1,5,GSCol,4,86.75,4
9057,distant neg,1,6,GSCol,9,86.75,9
9057,distant neg,1,7,GSCol,3,86.75,3
9057,distant neg,1,8,GSCol,1,86.75,1
9057,distant neg,1,9,GSCol,7,86.75,7
9057,distant neg,1,10,GSCol,2,86.5,2
9057,distant neg,1,11,GSCol,10,87.5,10
9060,distant neg,2,1,GSCol,9,94.25,3
9060,distant neg,2,2,GSCol,1,90.75,11
9060,distant neg,2,3,GSCol,8,98.5,4
9060,distant neg,2,4,GSCol,4,69,8
9060,distant neg,2,5,GSCol,11,3.25,1
9060,distant neg,2,6,GSCol,7,62.75,5
9060,distant neg,2,7,GSCol,2,1.5,10
9060,distant neg,2,8,GSCol,5,24.75,7
9060,distant neg,2,9,GSCol,3,92.5,9
9060,distant neg,2,10,GSCol,6,84.75,6
9060,distant neg,2,11,GSCol,10,18.75,2
9063,distant neg,1,1,GSCol,3,99.25,3
9063,distant neg,1,2,GSCol,6,100,6
9063,distant neg,1,3,GSCol,1,73,1
9063,distant neg,1,4,GSCol,8,100,8
9063,distant neg,1,5,GSCol,2,50.25,2
9063,distant neg,1,6,GSCol,9,99.25,9
9063,distant neg,1,7,GSCol,11,99.75,11
9063,distant neg,1,8,GSCol,4,63.5,4
9063,distant neg,1,9,GSCol,7,99.25,7
9063,distant neg,1,10,GSCol,10,96,10
9063,distant neg,1,11,GSCol,5,100,5
9066,distant neg,2,1,GSCol,6,100,6
9066,distant neg,2,2,GSCol,2,96.25,10
9066,distant neg,2,3,GSCol,3,93.5,9
9066,distant neg,2,4,GSCol,8,100,4
9066,distant neg,2,5,GSCol,11,97.5,1
9066,distant neg,2,6,GSCol,4,81.5,8
9066,distant neg,2,7,GSCol,7,100,5
9066,distant neg,2,8,GSCol,9,100,3
9066,distant neg,2,9,GSCol,5,97.25,7
9066,distant neg,2,10,GSCol,1,66.5,11
9066,distant neg,2,11,GSCol,10,96.25,2
9069,distant neg,1,1,GSCol,11,76.75,11
9069,distant neg,1,2,GSCol,4,100,4
9069,distant neg,1,3,GSCol,3,86.75,3
9069,distant neg,1,4,GSCol,6,100,6
9069,distant neg,1,5,GSCol,9,71.75,9
9069,distant neg,1,6,GSCol,7,80.75,7
9069,distant neg,1,7,GSCol,2,84.25,2
9069,distant neg,1,8,GSCol,10,81.5,10
9069,distant neg,1,9,GSCol,5,100,5
9069,distant neg,1,10,GSCol,1,83.75,1
9069,distant neg,1,11,GSCol,8,82.75,8
9072,distant neg,2,1,GSCol,2,50,10
9072,distant neg,2,2,GSCol,5,100,7
9072,distant neg,2,3,GSCol,4,76,8
9072,distant neg,2,4,GSCol,8,18.5,4
9072,distant neg,2,5,GSCol,1,31,11
9072,distant neg,2,6,GSCol,9,19.75,3
9072,distant neg,2,7,GSCol,11,12.5,1
9072,distant neg,2,8,GSCol,10,15,2
9072,distant neg,2,9,GSCol,6,98,6
9072,distant neg,2,10,GSCol,3,75,9
9072,distant neg,2,11,GSCol,7,100,5
9075,distant neg,1,1,GSCol,5,100,5
9075,distant neg,1,2,GSCol,4,100,4
9075,distant neg,1,3,GSCol,8,100,8
9075,distant neg,1,4,GSCol,6,79.5,6
9075,distant neg,1,5,GSCol,3,86,3
9075,distant neg,1,6,GSCol,10,100,10
9075,distant neg,1,7,GSCol,2,51.25,2
9075,distant neg,1,8,GSCol,9,100,9
9075,distant neg,1,9,GSCol,1,60.75,1
9075,distant neg,1,10,GSCol,7,100,7
9075,distant neg,1,11,GSCol,11,63.75,11
9078,distant neg,2,1,GSCol,2,100,10
9078,distant neg,2,2,GSCol,11,100,1
9078,distant neg,2,3,GSCol,4,100,8
9078,distant neg,2,4,GSCol,9,93.5,3
9078,distant neg,2,5,GSCol,10,0,2
9078,distant neg,2,6,GSCol,7,100,5
9078,distant neg,2,7,GSCol,5,100,7
9078,distant neg,2,8,GSCol,8,0,4
9078,distant neg,2,9,GSCol,3,0,9
9078,distant neg,2,10,GSCol,6,100,6
9078,distant neg,2,11,GSCol,1,69,11
9081,distant neg,1,1,GSCol,4,100,4
9081,distant neg,1,2,GSCol,2,100,2
9081,distant neg,1,3,GSCol,6,100,6
9081,distant neg,1,4,GSCol,5,100,5
9081,distant neg,1,5,GSCol,11,100,11
9081,distant neg,1,6,GSCol,7,100,7
9081,distant neg,1,7,GSCol,1,82.25,1
9081,distant neg,1,8,GSCol,3,83.25,3
9081,distant neg,1,9,GSCol,8,77.25,8
9081,distant neg,1,10,GSCol,9,66.75,9
9081,distant neg,1,11,GSCol,10,62,10
9084,distant neg,2,1,GSCol,7,100,5
9084,distant neg,2,2,GSCol,5,88.75,7
9084,distant neg,2,3,GSCol,1,66.5,11
9084,distant neg,2,4,GSCol,3,73.25,9
9084,distant neg,2,5,GSCol,8,69.25,4
9084,distant neg,2,6,GSCol,9,67.5,3
9084,distant neg,2,7,GSCol,2,59.5,10
9084,distant neg,2,8,GSCol,4,63.25,8
9084,distant neg,2,9,GSCol,11,56.25,1
9084,distant neg,2,10,GSCol,10,59.75,2
9084,distant neg,2,11,GSCol,6,76,6
9087,distant neg,1,1,GSCol,2,49.5,2
9087,distant neg,1,2,GSCol,8,49.25,8
9087,distant neg,1,3,GSCol,11,48.75,11
9087,distant neg,1,4,GSCol,5,50.75,5
9087,distant neg,1,5,GSCol,4,48.25,4
9087,distant neg,1,6,GSCol,10,48.5,10
9087,distant neg,1,7,GSCol,1,49.25,1
9087,distant neg,1,8,GSCol,7,50.5,7
9087,distant neg,1,9,GSCol,9,49.5,9
9087,distant neg,1,10,GSCol,3,48,3
9087,distant neg,1,11,GSCol,6,49.5,6
9090,distant neg,2,1,GSCol,8,99.25,4
9090,distant neg,2,2,GSCol,1,91.5,11
9090,distant neg,2,3,GSCol,4,75.75,8
9090,distant neg,2,4,GSCol,7,99.75,5
9090,distant neg,2,5,GSCol,10,98.25,2
9090,distant neg,2,6,GSCol,11,94.25,1
9090,distant neg,2,7,GSCol,9,95.5,3
9090,distant neg,2,8,GSCol,2,89.25,10
9090,distant neg,2,9,GSCol,6,88.5,6
9090,distant neg,2,10,GSCol,5,98,7
9090,distant neg,2,11,GSCol,3,93.75,9
9093,distant neg,1,1,GSCol,10,0.5,10
9093,distant neg,1,2,GSCol,2,0.5,2
9093,distant neg,1,3,GSCol,4,0.5,4
9093,distant neg,1,4,GSCol,7,0.5,7
9093,distant neg,1,5,GSCol,1,0.75,1
9093,distant neg,1,6,GSCol,6,0.5,6
9093,distant neg,1,7,GSCol,9,98.25,9
9093,distant neg,1,8,GSCol,8,98.5,8
9093,distant neg,1,9,GSCol,5,0.25,5
9093,distant neg,1,10,GSCol,11,98.25,11
9093,distant neg,1,11,GSCol,3,0.5,3
9096,distant neg,2,1,GSCol,1,87,11
9096,distant neg,2,2,GSCol,2,91,10
9096,distant neg,2,3,GSCol,4,86,8
9096,distant neg,2,4,GSCol,6,100,6
9096,distant neg,2,5,GSCol,5,84,7
9096,distant neg,2,6,GSCol,11,62,1
9096,distant neg,2,7,GSCol,8,61.5,4
9096,distant neg,2,8,GSCol,7,59.25,5
9096,distant neg,2,9,GSCol,10,54.5,2
9096,distant neg,2,10,GSCol,3,51.5,9
9096,distant neg,2,11,GSCol,9,51.5,3
9099,distant neg,1,1,GSCol,7,100,7
9099,distant neg,1,2,GSCol,1,62.75,1
9099,distant neg,1,3,GSCol,5,100,5
9099,distant neg,1,4,GSCol,8,61.5,8
9099,distant neg,1,5,GSCol,2,57.25,2
9099,distant neg,1,6,GSCol,4,54.5,4
9099,distant neg,1,7,GSCol,3,54.5,3
9099,distant neg,1,8,GSCol,6,100,6
9099,distant neg,1,9,GSCol,10,51,10
9099,distant neg,1,10,GSCol,9,51,9
9099,distant neg,1,11,GSCol,11,49.75,11
9102,distant neg,2,1,GSCol,2,100,10
9102,distant neg,2,2,GSCol,8,0,4
9102,distant neg,2,3,GSCol,4,0,8
9102,distant neg,2,4,GSCol,7,99.5,5
9102,distant neg,2,5,GSCol,11,48.25,1
9102,distant neg,2,6,GSCol,9,100,3
9102,distant neg,2,7,GSCol,1,99.25,11
9102,distant neg,2,8,GSCol,6,99.25,6
9102,distant neg,2,9,GSCol,3,99.25,9
9102,distant neg,2,10,GSCol,10,99.25,2
9102,distant neg,2,11,GSCol,5,99.25,7
9105,distant neg,1,1,GSCol,4,48.5,4
9105,distant neg,1,2,GSCol,9,48.5,9
9105,distant neg,1,3,GSCol,7,48.5,7
9105,distant neg,1,4,GSCol,1,48.5,1
9105,distant neg,1,5,GSCol,6,48.5,6
9105,distant neg,1,6,GSCol,2,48.5,2
9105,distant neg,1,7,GSCol,11,48.5,11
9105,distant neg,1,8,GSCol,5,98.5,5
9105,distant neg,1,9,GSCol,3,47.25,3
9105,distant neg,1,10,GSCol,8,47.25,8
9105,distant neg,1,11,GSCol,10,47.25,10
9108,distant neg,2,1,GSCol,8,91.75,4
9108,distant neg,2,2,GSCol,10,91.25,2
9108,distant neg,2,3,GSCol,6,99.5,6
9108,distant neg,2,4,GSCol,9,92,3
9108,distant neg,2,5,GSCol,11,92,1
9108,distant neg,2,6,GSCol,2,96.25,10
