subj,group,dimCB,testOrder,x,phase,y,trialNum,FCrule
19003,differential,BG,expec-ID,6,test,93,1,similarity
19003,differential,BG,expec-ID,9,test,25,2,similarity
19003,differential,BG,expec-ID,8,test,24,3,similarity
19003,differential,BG,expec-ID,10,test,25,4,similarity
19003,differential,BG,expec-ID,7,test,94,5,similarity
19003,differential,BG,expec-ID,1,test,25,6,similarity
19003,differential,BG,expec-ID,3,test,24,7,similarity
19003,differential,BG,expec-ID,2,test,26,8,similarity
19003,differential,BG,expec-ID,5,test,95,9,similarity
19003,differential,BG,expec-ID,4,test,0,10,similarity
19003,differential,BG,expec-ID,11,test,25,11,similarity
19007,single,BG,expec-ID,1,test,30,1,similarity
19007,single,BG,expec-ID,2,test,7,2,similarity
19007,single,BG,expec-ID,4,test,58,3,similarity
19007,single,BG,expec-ID,8,test,62,4,similarity
19007,single,BG,expec-ID,3,test,42,5,similarity
19007,single,BG,expec-ID,7,test,98,6,similarity
19007,single,BG,expec-ID,6,test,92,7,similarity
19007,single,BG,expec-ID,11,test,19,8,similarity
19007,single,BG,expec-ID,10,test,28,9,similarity
19007,single,BG,expec-ID,5,test,67,10,similarity
19007,single,BG,expec-ID,9,test,72,11,similarity
19009,differential,GB,expec-ID,8,test,90,1,linear blue
19009,differential,GB,expec-ID,9,test,96,2,linear blue
19009,differential,GB,expec-ID,11,test,97,3,linear blue
19009,differential,GB,expec-ID,2,test,6,4,linear blue
19009,differential,GB,expec-ID,5,test,20,5,linear blue
19009,differential,GB,expec-ID,7,test,85,6,linear blue
19009,differential,GB,expec-ID,6,test,85,7,linear blue
19009,differential,GB,expec-ID,1,test,16,8,linear blue
19009,differential,GB,expec-ID,3,test,18,9,linear blue
19009,differential,GB,expec-ID,4,test,25,10,linear blue
19009,differential,GB,expec-ID,10,test,79,11,linear blue
19010,single,BG,expec-ID,1,test,25,1,linear green
19010,single,BG,expec-ID,4,test,57,2,linear green
19010,single,BG,expec-ID,8,test,63,3,linear green
19010,single,BG,expec-ID,6,test,73,4,linear green
19010,single,BG,expec-ID,3,test,35,5,linear green
19010,single,BG,expec-ID,5,test,62,6,linear green
19010,single,BG,expec-ID,10,test,80,7,linear green
19010,single,BG,expec-ID,2,test,32,8,linear green
19010,single,BG,expec-ID,9,test,91,9,linear green
19010,single,BG,expec-ID,11,test,70,10,linear green
19010,single,BG,expec-ID,7,test,97,11,linear green
19015,differential,BG,expec-ID,9,test,37,1,similarity
19015,differential,BG,expec-ID,5,test,4,2,similarity
19015,differential,BG,expec-ID,11,test,27,3,similarity
19015,differential,BG,expec-ID,1,test,18,4,similarity
19015,differential,BG,expec-ID,8,test,72,5,similarity
19015,differential,BG,expec-ID,6,test,82,6,similarity
19015,differential,BG,expec-ID,10,test,22,7,similarity
19015,differential,BG,expec-ID,4,test,15,8,similarity
19015,differential,BG,expec-ID,7,test,66,9,similarity
19015,differential,BG,expec-ID,3,test,2,10,similarity
19015,differential,BG,expec-ID,2,test,3,11,similarity
19016,single,GB,expec-ID,1,test,70,1,linear green
19016,single,GB,expec-ID,11,test,25,2,linear green
19016,single,GB,expec-ID,4,test,100,3,linear green
19016,single,GB,expec-ID,7,test,37,4,linear green
19016,single,GB,expec-ID,2,test,100,5,linear green
19016,single,GB,expec-ID,3,test,100,6,linear green
19016,single,GB,expec-ID,8,test,24,7,linear green
19016,single,GB,expec-ID,9,test,19,8,linear green
19016,single,GB,expec-ID,6,test,77,9,linear green
19016,single,GB,expec-ID,5,test,79,10,linear green
19016,single,GB,expec-ID,10,test,17,11,linear green
19019,single,GB,expec-ID,5,test,83,1,linear green
19019,single,GB,expec-ID,1,test,86,2,linear green
19019,single,GB,expec-ID,2,test,79,3,linear green
19019,single,GB,expec-ID,11,test,48,4,linear green
19019,single,GB,expec-ID,8,test,42,5,linear green
19019,single,GB,expec-ID,9,test,43,6,linear green
19019,single,GB,expec-ID,10,test,71,7,linear green
19019,single,GB,expec-ID,3,test,87,8,linear green
19019,single,GB,expec-ID,6,test,71,9,linear green
19019,single,GB,expec-ID,4,test,72,10,linear green
19019,single,GB,expec-ID,7,test,37,11,linear green
19025,single,GB,expec-ID,10,test,33,1,similarity
19025,single,GB,expec-ID,8,test,45,2,similarity
19025,single,GB,expec-ID,6,test,80,3,similarity
19025,single,GB,expec-ID,2,test,69,4,similarity
19025,single,GB,expec-ID,4,test,64,5,similarity
19025,single,GB,expec-ID,9,test,41,6,similarity
19025,single,GB,expec-ID,5,test,68,7,similarity
19025,single,GB,expec-ID,1,test,67,8,similarity
19025,single,GB,expec-ID,3,test,71,9,similarity
19025,single,GB,expec-ID,7,test,41,10,similarity
19025,single,GB,expec-ID,11,test,68,11,similarity
19029,differential,GB,expec-ID,5,test,2,1,linear blue
19029,differential,GB,expec-ID,11,test,61,2,linear blue
19029,differential,GB,expec-ID,10,test,61,3,linear blue
19029,differential,GB,expec-ID,7,test,98,4,linear blue
19029,differential,GB,expec-ID,4,test,3,5,linear blue
19029,differential,GB,expec-ID,3,test,5,6,linear blue
19029,differential,GB,expec-ID,2,test,6,7,linear blue
19029,differential,GB,expec-ID,9,test,73,8,linear blue
19029,differential,GB,expec-ID,8,test,69,9,linear blue
19029,differential,GB,expec-ID,1,test,22,10,linear blue
19029,differential,GB,expec-ID,6,test,99,11,linear blue
19030,differential,GB,expec-ID,2,test,0,1,similarity
19030,differential,GB,expec-ID,7,test,92,2,similarity
19030,differential,GB,expec-ID,11,test,0,3,similarity
19030,differential,GB,expec-ID,6,test,100,4,similarity
19030,differential,GB,expec-ID,1,test,0,5,similarity
19030,differential,GB,expec-ID,9,test,0,6,similarity
19030,differential,GB,expec-ID,4,test,0,7,similarity
19030,differential,GB,expec-ID,3,test,0,8,similarity
19030,differential,GB,expec-ID,5,test,100,9,similarity
19030,differential,GB,expec-ID,8,test,0,10,similarity
19030,differential,GB,expec-ID,10,test,0,11,similarity
19036,differential,GB,expec-ID,7,test,87,1,linear blue
19036,differential,GB,expec-ID,11,test,71,2,linear blue
19036,differential,GB,expec-ID,10,test,70,3,linear blue
19036,differential,GB,expec-ID,6,test,5,4,linear blue
19036,differential,GB,expec-ID,4,test,9,5,linear blue
19036,differential,GB,expec-ID,1,test,20,6,linear blue
19036,differential,GB,expec-ID,5,test,39,7,linear blue
19036,differential,GB,expec-ID,3,test,29,8,linear blue
19036,differential,GB,expec-ID,9,test,73,9,linear blue
19036,differential,GB,expec-ID,8,test,72,10,linear blue
19036,differential,GB,expec-ID,2,test,36,11,linear blue
19037,single,GB,expec-ID,11,test,0,1,linear green
19037,single,GB,expec-ID,6,test,100,2,linear green
19037,single,GB,expec-ID,3,test,0,3,linear green
19037,single,GB,expec-ID,2,test,0,4,linear green
19037,single,GB,expec-ID,7,test,99,5,linear green
19037,single,GB,expec-ID,5,test,99,6,linear green
19037,single,GB,expec-ID,8,test,99,7,linear green
19037,single,GB,expec-ID,9,test,99,8,linear green
19037,single,GB,expec-ID,4,test,100,9,linear green
19037,single,GB,expec-ID,1,test,99,10,linear green
19037,single,GB,expec-ID,10,test,1,11,linear green
19039,differential,BG,expec-ID,5,test,73,1,similarity
19039,differential,BG,expec-ID,1,test,2,2,similarity
19039,differential,BG,expec-ID,7,test,61,3,similarity
19039,differential,BG,expec-ID,3,test,1,4,similarity
19039,differential,BG,expec-ID,10,test,50,5,similarity
19039,differential,BG,expec-ID,2,test,8,6,similarity
19039,differential,BG,expec-ID,6,test,74,7,similarity
19039,differential,BG,expec-ID,9,test,59,8,similarity
19039,differential,BG,expec-ID,4,test,21,9,similarity
19039,differential,BG,expec-ID,8,test,19,10,similarity
19039,differential,BG,expec-ID,11,test,42,11,similarity
19042,single,GB,expec-ID,6,test,76,1,linear blue
19042,single,GB,expec-ID,9,test,72,2,linear blue
19042,single,GB,expec-ID,7,test,93,3,linear blue
19042,single,GB,expec-ID,8,test,25,4,linear blue
19042,single,GB,expec-ID,2,test,83,5,linear blue
19042,single,GB,expec-ID,3,test,75,6,linear blue
19042,single,GB,expec-ID,5,test,83,7,linear blue
19042,single,GB,expec-ID,11,test,84,8,linear blue
19042,single,GB,expec-ID,10,test,76,9,linear blue
19042,single,GB,expec-ID,4,test,19,10,linear blue
19042,single,GB,expec-ID,1,test,27,11,linear blue
19043,differential,GB,expec-ID,3,test,0,1,similarity
19043,differential,GB,expec-ID,2,test,3,2,similarity
19043,differential,GB,expec-ID,5,test,72,3,similarity
19043,differential,GB,expec-ID,11,test,22,4,similarity
19043,differential,GB,expec-ID,7,test,94,5,similarity
19043,differential,GB,expec-ID,1,test,1,6,similarity
19043,differential,GB,expec-ID,9,test,12,7,similarity
19043,differential,GB,expec-ID,6,test,81,8,similarity
19043,differential,GB,expec-ID,4,test,82,9,similarity
19043,differential,GB,expec-ID,10,test,14,10,similarity
19043,differential,GB,expec-ID,8,test,10,11,similarity
19044,differential,BG,expec-ID,11,test,18,1,similarity
19044,differential,BG,expec-ID,8,test,92,2,similarity
19044,differential,BG,expec-ID,5,test,0,3,similarity
19044,differential,BG,expec-ID,3,test,0,4,similarity
19044,differential,BG,expec-ID,4,test,2,5,similarity
19044,differential,BG,expec-ID,7,test,100,6,similarity
19044,differential,BG,expec-ID,2,test,6,7,similarity
19044,differential,BG,expec-ID,9,test,29,8,similarity
19044,differential,BG,expec-ID,1,test,5,9,similarity
19044,differential,BG,expec-ID,6,test,99,10,similarity
19044,differential,BG,expec-ID,10,test,23,11,similarity
19045,single,BG,expec-ID,6,test,62,1,similarity
19045,single,BG,expec-ID,9,test,28,2,similarity
19045,single,BG,expec-ID,3,test,57,3,similarity
19045,single,BG,expec-ID,5,test,57,4,similarity
19045,single,BG,expec-ID,10,test,42,5,similarity
19045,single,BG,expec-ID,8,test,63,6,similarity
19045,single,BG,expec-ID,1,test,38,7,similarity
19045,single,BG,expec-ID,11,test,42,8,similarity
19045,single,BG,expec-ID,7,test,62,9,similarity
19045,single,BG,expec-ID,2,test,37,10,similarity
