"","mean","se_mean","sd","2.5%","50%","97.5%","n_eff","Rhat"
"M[1]",0.0921481958840264,0.00025709727532932,0.0324352446713204,0.0298085121295094,0.0928917378539017,0.159626835065881,15916.200758452,1.00017596664744
"M[2]",0.0938921114302401,0.000261296526279828,0.0326688552921822,0.0310036524579908,0.0945575141285183,0.162196202455495,15631.4966543684,1.00004939258184
"M[3]",0.0817509949250314,0.000700196890018607,0.0975283021255769,-0.124400392443808,0.0872429190590451,0.263671489157729,19400.8595787051,1.00028845078817
"M[4]",0.00988759220742301,0.000350476811662241,0.0382968861166037,-0.0597944143887997,0.00743350867946746,0.096620815650183,11940.1105541155,1.00006444873151
"M[5]",0.0967192981242838,0.000703177105991662,0.0781893262308526,-0.0376045330454795,0.088428422152263,0.256889927520671,12364.1850517271,1.00032340014077
"M[6]",0.132854136649371,0.000532046328122631,0.0624567466278171,0.0246757282658022,0.131097398682399,0.2601805655107,13780.3362751952,1.00020184650657
"M[7]",0.0255518732745111,0.000437383606059579,0.0488990524463972,-0.0565306242564533,0.0191236207809148,0.139261614883791,12499.0177672495,1.0001846612413
"M[8]",0.190320598364184,0.000582797648863235,0.0690371878018794,0.0526525847551683,0.191254534932014,0.32319297849409,14032.3562667918,0.999970785747088
"M[9]",0.110264540062801,0.00047850348880986,0.0558574836515716,0.00525532068441437,0.108464730044189,0.226259039553323,13626.7571742723,1.00007852564078
"M[10]",-0.00121247130584945,0.000593720012618282,0.0946110092224336,-0.186703119381891,-0.00136778293668266,0.183692987390503,25393.3485762202,1.00023814258615
"M[11]",0.039132522601326,0.00159137313516504,0.0773043452264558,-0.0632782170014789,0.0117222994457198,0.218228805296708,2359.73789854143,1.00140645745732
"M[12]",-0.00340006253286451,0.000284709359993755,0.032386961817567,-0.0658757299573998,-0.0030274896522603,0.0670466921210679,12940.0790194151,1.00015717139323
"M[13]",0.0510431705027788,0.00139318899818169,0.128082252097545,-0.18103196014477,0.0417979356223747,0.307782161886767,8451.96788258375,1.00028787996173
"M[14]",0.158236940777666,0.000635284850910618,0.0771971604660792,0.00573382469007506,0.160520131619133,0.30740150350533,14766.0948446632,1.00011763084122
"SDPlus[1]",0.792886007223644,0.000899358805048024,0.137287888908635,0.503760354260878,0.80973068554022,0.991333702730289,23302.2829776374,1.00007767367644
"SDPlus[2]",0.798878540276107,0.000886415825889423,0.134687430438899,0.512210961937313,0.816719911580085,0.991783607507292,23087.6182365907,0.999994941518448
"SDPlus[3]",0.612408289918186,0.00349605276519617,0.215939027453991,0.2336291494621,0.611660035094399,0.977067399460884,3815.10350213894,1.00082709427654
"SDPlus[4]",0.310355527724025,0.000724720700638052,0.0749111384915664,0.188512167007814,0.301888605685934,0.481358048861411,10684.4325548885,1.00028558712411
"SDPlus[5]",0.771795072382138,0.00107261694693157,0.15766635380379,0.427539523310603,0.794293552105964,0.991262926743645,21606.7148138717,1.00006962642047
