"","mean","se_mean","sd","2.5%","50%","97.5%","n_eff","Rhat"
"M[1]",-0.00651640005989398,0.00141566354529893,0.0947575171360341,-0.142876105466406,-0.0283729590453856,0.188242022892833,4480.30157555552,1.00064728171371
"M[2]",-0.0121451331397669,0.00058819958861136,0.0636182068858488,-0.120600590711899,-0.0189609921785658,0.126672945100188,11698.048439924,1.00040382172286
"M[3]",-0.108057818069935,0.000404833999763635,0.0472946408600045,-0.193133239460343,-0.109568043824345,-0.00981657382766008,13648.028010669,1.00015140920952
"M[4]",0.0703471191202654,0.000516968705657201,0.0738778195102033,-0.0687910308111168,0.0685214612772015,0.221347567148877,20422.0638330819,1.00015341184404
"M[5]",0.0372596153157601,0.000615883705121678,0.0757126843373914,-0.103642914222248,0.0343200198734682,0.19371939781333,15112.623415328,1.00015700292618
"M[6]",0.0233696267700911,0.00055751569490003,0.0828830040740058,-0.127146370730299,0.0194575500898781,0.193213082763052,22101.246648651,0.999994257014615
"M[7]",-0.064493755141149,0.000476358007037257,0.0521639227963006,-0.149707095135672,-0.0729186199681173,0.0597620374315768,11991.5009922516,1.00012323205697
"M[8]",-0.0555284606640422,0.000424146937832325,0.0443789389580896,-0.142262386217343,-0.0563310567065483,0.0335473999593098,10947.6563766315,1.00048502668085
"M[9]",-0.184019792024301,0.000611060881299797,0.0519599766381866,-0.254945258504143,-0.194383278207284,-0.0335845685501857,7230.50998353418,1.00031627129609
"M[10]",0.121239463377173,0.000515488712168698,0.0568478866854673,0.0292718493048986,0.115537396651863,0.251606200883868,12161.5891933507,1.00023172724618
"M[11]",0.0413727349691572,0.000445234743672411,0.0399486642887211,-0.0291209650878029,0.0385050546959181,0.11637965506824,8050.56631976868,1.00046308895993
"M[12]",-0.000602370606722752,0.000375799445985368,0.0403842191453025,-0.0694100991302785,-0.00309071058729499,0.0924123805574591,11548.1152330229,1.00070185397963
"M[13]",-0.0236388206334581,0.000767445897081539,0.0674190757618815,-0.134030052811678,-0.0331212385461868,0.113705499858727,7717.38296140844,1.00042738036349
"M[14]",0.0682390947721382,0.00066950386168907,0.078804767457016,-0.0846035157318905,0.0711876307021534,0.22113778082487,13854.7537422208,0.999986673727539
"M[15]",0.0863356794012372,0.000789690067938328,0.0639522838813799,-0.0498780167079788,0.0899763210448907,0.19843875225329,6558.41305940874,1.00096424785787
"M[16]",-0.0617460887778021,0.000442222605068444,0.0530651006914253,-0.156036606047158,-0.0659104363052254,0.0525904371881208,14399.1252049326,1.00051561174794
"M[17]",-0.0374353730131302,0.000930327706068929,0.0647638458222965,-0.126781053042729,-0.0529977276028202,0.126075470255587,4846.11092535188,1.00032101583395
"M[18]",0.0948045713772908,0.000344918285122356,0.0342181877002666,0.0310696834187867,0.0941733150076012,0.171796524347097,9841.95946723092,1.00025150138136
"SDPlus[1]",0.550019251796516,0.00148332869790682,0.167166132748843,0.275013257573299,0.527979985542916,0.929702918411227,12700.528485472,1.00008478766564
"SDPlus[2]",0.764850323397683,0.00109402254854052,0.144635054065107,0.468593938360863,0.776484724907984,0.986390552147855,17478.114421412,1.00001381048157
"SDPlus[3]",0.522965587709406,0.00130417246368557,0.127586396221764,0.336353761744308,0.499624176335388,0.853602066721008,9570.58949445421,1.0002579278967
"SDPlus[4]",0.585487104756223,0.00159014620030519,0.188864454946486,0.277858234019899,0.561973783608835,0.96239865310427,14106.7297902104,1.00023044087198
"SDPlus[5]",0.578499626852475,0.00160217825448622,0.187684903142379,0.274464518811425,0.554326391682493,0.95828135395304,13722.6193023422,1.00014511788525
"SDPlus[6]",0.722605812539582,0.00120291171346279,0.166070285952046,0.392861403391223,0.730812952478298,0.985195437691553,19059.7131046713,1.00019638499431
"SDPlus[7]",0.650708678744102,0.00139412177733506,0.154979085350241,0.389713963601537,0.634477252791052,0.964498513875216,12357.9024971079,1.00015672057927
"SDPlus[8]",0.135117306699314,0.000516370697187385,0.0525944360973934,0.0326036142926762,0.135302280122664,0.239533171889985,10374.2432753382,1.00029357632675
"SDPlus[9]",0.706809275933442,0.0011577737399389,0.144146514312442,0.453544027885208,0.698035334430117,0.975254215648743,15501.0422537117,1.00028485436906
"SDPlus[10]",0.572428050022337,0.00161898781833688,0.196522481882556,0.263401766131813,0.544504168243707,0.96267072153195,14734.5649796378,1.00020183334399
"SDPlus[11]",0.0908601372159124,0.000417684201037671,0.0388142667968346,0.0190707275994589,0.0916823061282294,0.166247731482584,8635.48386030525,1.00045571739687
"SDPlus[12]",0.567038966675578,0.00158067783260694,0.167955178887034,0.319976088299093,0.534669039135693,0.942602835368562,11290.1594131385,1.00015400757162
"SDPlus[13]",0.218507138368735,0.000872351642092973,0.0776029974518672,0.074773292242832,0.221278865140168,0.371507767721144,7913.59512231282,1.00037834471007
"SDPlus[14]",0.584489460315538,0.00157698451003672,0.190676946179188,0.276706398914707,0.560178741238078,0.963645168769806,14619.803000496,1.00021722729764
"SDPlus[15]",0.44170972422456,0.00187041747701859,0.169905504455225,0.219652221154179,0.399123631807176,0.889434595347847,8251.59291529906,1.00040810399467
"SDPlus[16]",0.523548962611671,0.00122030854309391,0.129983248013498,0.323284371973982,0.503619639509352,0.847561786524341,11345.8089537735,1.00032955466836
"SDPlus[17]",0.25053094050198,0.000857526307997735,0.0632122571875943,0.103248950758654,0.25721393392442,0.359328591028795,5433.85057497492,1.00027965785503
"SDPlus[18]",0.18298527518756,0.000534707434942505,0.0514418213183204,0.0724747048927646,0.18360075556679,0.284150943119626,9255.5072932562,1.00023852516275
"SDMinus[1]",0.178333272104897,0.00260505703902402,0.160714942742294,0.0106636029705208,0.108262458480014,0.547045495336974,3806.08113623617,1.00083875611978
"SDMinus[2]",0.113421892439184,0.000582169836769857,0.0612563945712952,0.0188805102009315,0.103807436668965,0.25474269141619,11071.4234799282,1.00046120297948
"SDMinus[3]",0.100531187201785,0.000345090861838374,0.0418758531576508,0.0277959557048478,0.097349995508475,0.193002673563083,14725.1734194173,1.00023437421806
"SDMinus[4]",0.317910736325603,0.000973151725957195,0.107355331886594,0.133895865486098,0.307856276285079,0.558096787504027,12169.8751624243,1.00027103932606
"SDMinus[5]",0.190280650029284,0.000676511082786908,0.0776950952180473,0.055850973307659,0.184637480644104,0.360164873245616,13189.7746345828,1.00047193610805
"SDMinus[6]",0.522400047633305,0.00161605609094217,0.174502893140125,0.252685124290214,0.494282574514795,0.925070074286253,11659.834940212,1.00005708123778
"SDMinus[7]",0.0688126210453957,0.000402592731943596,0.0437580324853785,0.00804382719284761,0.060925070792345,0.175464795317494,11813.639452162,1.00016063602622
