"","mean","se_mean","sd","2.5%","50%","97.5%","n_eff","Rhat"
"M[1]",-0.0612439306644864,0.000706808622259952,0.0571534215263262,-0.146637308726645,-0.0748909578308344,0.0744511579328175,6538.54010864147,1.00143935290283
"M[2]",0.110348319007889,0.000642665772552489,0.0680645689638121,-0.0148358934795888,0.10695783768406,0.25021716811413,11216.8743735532,1.00039397446531
"M[3]",0.0101774284006782,0.000447031515617883,0.0441728622885946,-0.0647949904375141,0.00548226633223114,0.115778424722336,9764.1580123233,1.00015824607787
"M[4]",-0.00457182615417852,0.000277980103557607,0.0330792706183864,-0.0675488695481441,-0.00435457466046318,0.0669422943208367,14160.6903184406,1.0000199267492
"M[5]",-0.0237517724265523,0.000741469272179332,0.0618337560281075,-0.118572951001565,-0.0326089710736366,0.0988850124257238,6954.48445269209,1.00032200059024
"M[6]",0.160774138731988,0.000975968678433901,0.0765755836877908,0.037588175683928,0.151633071848147,0.322586116092566,6156.14543716542,1.00023960946049
"M[7]",-0.0497886941052691,0.000501825013454375,0.0603689068123778,-0.151560521087159,-0.0563813673230464,0.0837582594091598,14471.782047942,1.00020722612563
"M[8]",-0.0337577738748891,0.0013785340423482,0.0967991354192121,-0.206331173653426,-0.0261794900435373,0.119896983786741,4930.69303629589,1.00117996223615
"M[9]",0.00813594509582918,0.000327592029805363,0.0348500463444595,-0.056343667904674,0.00542575500303016,0.0880682152316101,11317.2280147682,1.00020310872266
"M[10]",0.0304263854646745,0.00049377585827818,0.0430387292460711,-0.0461076617948938,0.0253103540898114,0.114177944072699,7597.29822845849,1.00045905990835
"M[11]",-0.0808367956534714,0.000408585208774603,0.0425583296868541,-0.152714084192336,-0.0864377207182317,0.0224370817521543,10849.3537004106,1.00032573927666
"M[12]",-0.0846282499520373,0.000383885374553728,0.0394040263626579,-0.150377963210308,-0.0900043644536246,0.0134563637441316,10536.0559681936,1.00003332812817
"M[13]",0.207622314323957,0.000523095385391011,0.0594656007743671,0.0908100230148244,0.206811238853009,0.329236712358517,12923.1934111642,1.00023080500175
"M[14]",-0.00341535472768628,0.000644077122512148,0.0664792365787696,-0.111735829607786,-0.011813516602463,0.142375033286072,10653.5978801333,1.00031396268075
"M[15]",-0.00267152628230358,0.000548774489561113,0.0912439164193816,-0.181394999303762,-0.00336278036576315,0.177136568881392,27645.2172443418,1.0000286787582
"M[16]",0.0533327228138376,0.000713926909070954,0.0574958613042616,-0.0321863239061994,0.04061999732008,0.185465345403711,6485.83155548118,1.0003804295867
"M[17]",0.0693571555107055,0.000492723475691086,0.0603478377858921,-0.0397201751874415,0.0662323003456852,0.197133092830479,15000.8863009541,1.0000633577988
"M[18]",0.187248355887794,0.000452389911961104,0.0562071240790385,0.0726511714013439,0.187963745916477,0.297552789677036,15436.7867755186,1.00028233686569
"M[19]",0.0116540626141242,0.00116022102279266,0.0996431777722727,-0.123278856357999,-0.0124417955767723,0.246077854333729,7375.87720455422,1.00067851904316
"M[20]",0.151438761954643,0.000610444897529885,0.0736071170291887,0.0107022655248805,0.150386680057806,0.297967381203767,14539.4065394275,1.00003004951913
"M[21]",0.124361879001846,0.00052678709352967,0.0462390024891674,0.0516650634970985,0.115804655498173,0.245104368873577,7704.53905376824,1.00008405193661
