"","mean","se_mean","sd","2.5%","50%","97.5%","n_eff","Rhat"
"M[1]",-0.0660816408983773,0.000491182047992791,0.0397639282756071,-0.130725894386983,-0.0725100259849266,0.026943081040958,6553.80616215507,1.00053539128547
"M[2]",-0.043952468879675,0.000600697086340491,0.0743030624459284,-0.192335587068864,-0.0427935776035917,0.101213105240985,15300.3856281835,1.00001585796627
"M[3]",-0.0117929983459873,0.000405887504656166,0.0547265484895743,-0.119108139536161,-0.0116142055110347,0.0960664335011253,18179.6180378626,1.00042123337379
"M[4]",0.0259995607185538,0.000967843743081377,0.0477589511646484,-0.0692686785000759,0.0251116561527579,0.12217783861919,2435.00057328593,1.00184052618385
"M[5]",0.101085481283305,0.00055697067249504,0.0708875827597505,-0.0351925592510399,0.099858191721156,0.244597777864062,16198.5327761545,1.0004229844177
"M[6]",-0.0131891131925641,0.000388295309770894,0.0515872178858994,-0.115627348767091,-0.0134616510689301,0.0876600208212277,17650.6183407463,1.00004253453729
"M[7]",0.00110923321958523,0.000524693102659058,0.0734667867782693,-0.14495951672152,0.00103782979858619,0.144172802439839,19605.2046709462,1.00056343725542
"M[8]",0.0744151169668944,0.000431972348655758,0.0416772262704644,-0.0191226116149713,0.0783018299269975,0.15050060940829,9308.62896902879,1.00129564249008
"M[9]",-0.0220960377784475,0.000568845174636953,0.0764537642904271,-0.175597475753446,-0.0213699431523989,0.123000336200996,18063.8196953299,1.00020283760311
"M[10]",0.0557146370946925,0.000508590545218219,0.0727659802786812,-0.0858003099835658,0.0544476421664311,0.200097638802732,20470.1113069846,1.00033239544532
"M[11]",0.228244480787336,0.00136106036748673,0.106083161123749,0.0284255715633725,0.235113811859183,0.414308373276351,6074.88595378087,1.00036602597221
"M[12]",-0.0288845364665771,0.002253550788779,0.0769958860836547,-0.18900077209352,-0.0291040512221069,0.123494635160584,1167.34799565964,1.00281499827807
"M[13]",0.0299114765161237,0.00438629609530835,0.0883425085787135,-0.140009293525255,0.0348808100103883,0.183624522525884,405.642606121375,1.00390415278571
"M[14]",0.00254495096414225,0.00056165628849689,0.0660636258818262,-0.126977877396451,0.00308922577176091,0.129581047740743,13835.1400811763,1.00048647192755
"M[15]",-0.00140019688604591,0.000507837373822151,0.0651785718405802,-0.130868353855577,-0.00183312784142176,0.126079740783684,16472.5320784551,1.00019039931053
"M[16]",0.0218029482413236,0.000601922624851984,0.0810531070301081,-0.139385759923618,0.0223328842606154,0.180064567425041,18132.5130786634,1.00021398201928
"M[17]",-0.10466299624916,0.000688432475957842,0.063198031189004,-0.208428574171856,-0.109534059312376,0.025160119533801,8427.22130379653,1.00014503025386
"M[18]",-0.000288949665901239,0.000482350943198616,0.0559021568536724,-0.11306761519962,0.000802458927613714,0.105843018130267,13431.6963361674,1.00043224839111
"M[19]",-0.0391777298472601,0.000530482519827719,0.0816505995135259,-0.197515655162013,-0.0397053210577776,0.126447197935956,23690.6294581236,1.00002466317711
"M[20]",0.0497599386835433,0.0005831382305833,0.0683800485296663,-0.0789293609508513,0.0479760683602192,0.189533812114507,13750.4141810933,1.00051312634909
"M[21]",0.13048521299329,0.000541227278562383,0.0699336403133367,-0.00164545297972464,0.128612732148158,0.2721936021346,16696.0184532026,1.00058136345083
"M[22]",-0.0621998899238418,0.000625405088576871,0.060792948516888,-0.183390057553758,-0.0609400075081976,0.0570251202326531,9448.95094073067,1.0003912539811
"M[23]",0.0460052579111332,0.000400147007592125,0.0416668234955683,-0.0323184872703585,0.0455575823666395,0.136358360050921,10842.8047886586,1.00018381424899
"M[24]",0.0618960329510232,0.000672907532547126,0.0803792315982039,-0.087807761755852,0.0621188140411084,0.2157671831868,14268.4540382943,1.00029324789536
"M[25]",-0.0981826494734891,0.000445979268966774,0.0361944711204721,-0.163182272004404,-0.100243719837876,-0.0165119614427602,6586.50654083446,1.00171512954049
"M[26]",0.151452172549785,0.000994777052799429,0.111603849547097,-0.0552236620148626,0.145811163116708,0.371801401154034,12586.5536936575,1.00004711512144
"M[27]",-0.01080343181575,0.000602705399932046,0.0797559919762023,-0.164948193943687,-0.011529474257608,0.148293895984057,17511.2229293712,1.00057846617226
"M[28]",0.0876861782405519,0.00126030545819969,0.0693425413270395,-0.0375573078159982,0.0857768299544016,0.230030084121386,3027.2471136642,1.00196941017512
"M[29]",0.08386339356221,0.00107660525221853,0.0820441702378418,-0.072808116350991,0.0838853772351048,0.244676674528278,5807.40970216838,1.00152518016536
"M[30]",-0.00320972146750246,0.00250284297813909,0.0854367059384254,-0.169171359504952,-0.00481454580948315,0.173758773750512,1165.25716801818,1.00315701294016
"M[31]",0.0568042049173659,0.000848483203749706,0.0604198669027377,-0.0288686524088691,0.0409637027076238,0.192126348072361,5070.75969021272,1.00135345609626
"M[32]",-0.154719080802237,0.00132451934459176,0.0780539011815017,-0.309737218710375,-0.154193654660313,-0.00559344655334858,3472.74278261865,1.00307174423617
"M[33]",0.0639717011569956,0.000689728129738267,0.0874316768250993,-0.105184892666388,0.0637833298507733,0.235794474159741,16068.7368386584,1.00022331017194
"M[34]",0.0230415464854509,0.000390284932299209,0.0491415770549522,-0.0633328712266075,0.0189075866241773,0.131085597536218,15853.8450740232,1.00027537137645
"M[35]",0.0423826107695955,0.000709922893394741,0.0688060918314496,-0.0823564751464799,0.0387818516765744,0.178766046310912,9393.58606221996,1.00055932666266
"M[36]",0.00595399812180187,0.000538791775592018,0.0796478294757665,-0.151242266738961,0.00749860821844917,0.15878263221788,21852.7438250269,1.00047921175944
"M[37]",0.0102829286837351,0.000379985447205561,0.0393543167767354,-0.0612782505133444,0.00746043113641198,0.0983000658006429,10726.3218915494,1.00093083640673
"M[38]",-0.175538677970065,0.000408169959222961,0.0365610723546369,-0.24498905941893,-0.176418870735619,-0.115482098724607,8023.3506807504,1.00068403129094
"M[39]",-0.00103377229068725,0.000258196230649398,0.0316425957906689,-0.0629007232375947,-0.00141844675151398,0.0670269212033905,15019.1173769885,1.00010125215957
"M[40]",0.0728431476051158,0.00137183585342401,0.133795684557384,-0.207419439982721,0.085874168202934,0.293146838593973,9512.17679680442,1.0008530811077
"M[41]",-0.0560713872350618,0.000689685062604104,0.064533920074065,-0.145946631715987,-0.0705099785492443,0.117251795549853,8755.36898594705,1.00020484469622
"M[42]",-0.0216895507942067,0.00197624877249903,0.0596874208718372,-0.166654085967955,-0.0157372809033857,0.0767843217018804,912.183894300373,1.00393106644073
"M[43]",0.101123655010917,0.000559304434797877,0.0742366626618394,-0.041287463603028,0.100454504143325,0.249257126761107,17617.3407205473,1.00007899271761
"M[44]",-0.0108014183559398,0.000548576527782456,0.0792471628042621,-0.176345985072438,-0.00860686202882194,0.136299416308363,20868.5850021112,0.999991938034761
"M[45]",-0.0959191589930663,0.00113140484772834,0.0731605406075301,-0.24784633167136,-0.0939144417991802,0.0372929774591948,4181.36174380603,1.0003829031917
"M[46]",-0.033227592310345,0.000438952103267373,0.0518264145374729,-0.15076265199201,-0.0292916632079299,0.0567904388128484,13940.1696878046,1.00005505218874
"M[47]",-0.000561514932377039,0.00190575458892883,0.077174299755059,-0.1506653689523,-0.00135699898733294,0.163239966267372,1639.87764956777,1.00337450316305
"SDPlus[1]",0.155340089594047,0.000395131973121746,0.0373006550088542,0.078428763547742,0.156161624304061,0.226586183143762,8911.45400852312,1.00049545805573
"SDPlus[2]",0.376317777326847,0.000927045681618058,0.0916264498510116,0.225652259146648,0.366157518350762,0.584335645333773,9768.76020624687,1.00032416100438
"SDPlus[3]",0.380463142794566,0.00121759633893537,0.102920912349262,0.230375083357279,0.364640376524513,0.630317304516707,7144.97292770538,1.00050367312059
"SDPlus[4]",0.290412941305741,0.00155384310448327,0.0748034340421456,0.173731992006761,0.280171788992483,0.458623415876371,2317.54802085199,1.00217909009885
"SDPlus[5]",0.749055205193471,0.0011791309226239,0.160900464668016,0.41499385618656,0.766701050202843,0.987590659629133,18620.4657157259,1.00022773505831
"SDPlus[6]",0.322611830403448,0.000792239158376429,0.0853185500812713,0.185085105403788,0.312400506089953,0.524854459178734,11597.7655013398,1.00042306973895
"SDPlus[7]",0.867190920855561,0.00106107834904354,0.104025215307303,0.618068956862757,0.890014077265159,0.99528537546902,9611.30459255118,1.00037393460497
"SDPlus[8]",0.05890731737114,0.000323500831612992,0.0345265948347813,0.00722470621119297,0.0542528006141537,0.14070213651836,11390.8647160614,1.00080807559955
"SDPlus[9]",0.545638712164547,0.00399754846528292,0.155274766050444,0.303970975409972,0.5221170102297,0.912267796520333,1508.73960779259,1.00342542322693
"SDPlus[10]",0.577925015895108,0.00208708549209228,0.181486670808926,0.283050044917914,0.555257226650244,0.954250784565583,7561.51798852625,1.00088058955433
"SDPlus[11]",0.585426834926285,0.00198298361347604,0.230256130674175,0.168892975865921,0.587802470047601,0.97363276270521,13482.9260897879,1.0002103736285
"SDPlus[12]",0.583854028622523,0.00444797648070358,0.171377368613249,0.320023911673414,0.556389293960652,0.968432213461373,1484.50606446837,1.00264127240377
"SDPlus[13]",0.044074809236927,0.00121016056631481,0.0542995613621817,0.00226023247068006,0.0306413027678056,0.180523648565172,2013.29144634397,1.00089791316706
"SDPlus[14]",0.429196948476759,0.00144933259136476,0.119783764490347,0.250856402861537,0.41077623755771,0.724693498165499,6830.61486125184,1.00130854260478
"SDPlus[15]",0.488648240712491,0.00153539636987052,0.148263177238048,0.276623587599722,0.458063862946399,0.871562673082237,9324.50071184124,1.00038980296282
"SDPlus[16]",0.701577745443077,0.00187070479110529,0.170975633260353,0.379637802426306,0.704937735176769,0.983360071537045,8353.29703660202,1.00160862038335
"SDPlus[17]",0.283530531395226,0.000624284861851314,0.0601149723852588,0.168440258614185,0.284559914209123,0.399720052722278,9272.56093506387,1.00003053377529
"SDPlus[18]",0.194802561412624,0.000436479048445434,0.0541348049783173,0.0949814704102442,0.192158341707917,0.307503498831358,15382.4796574778,1.00000319180109
"SDPlus[19]",0.712297326355608,0.00124892841914275,0.156571803715954,0.417697181558811,0.714836923048944,0.981367540391559,15716.3616337136,1.00032016549547
"SDPlus[20]",0.726490186297178,0.00122652354450883,0.161043769937969,0.405952436355749,0.736894370302503,0.984429120638026,17239.9530335764,1.00003233253351
"SDPlus[21]",0.742374513680018,0.00284511326075933,0.167966032405126,0.396784718537705,0.759812049864287,0.990312534522326,3485.32922295456,1.00179931624169
"SDPlus[22]",0.220913031573415,0.00118625856899606,0.0695643819282671,0.0701378776625882,0.222162798034276,0.353896018561011,3438.8650749464,1.00071640734921
"SDPlus[23]",0.0738940726359942,0.000291218857773815,0.0345340648602374,0.0138705082889105,0.0716100182196397,0.147192706613785,14062.3017367063,1.00021909359837
"SDPlus[24]",0.725115155875557,0.00128324995400517,0.17118568390843,0.375765212746833,0.739175058077194,0.984997434839964,17795.5891165347,0.999988059489075
"SDPlus[25]",0.385611924663578,0.00159645192042023,0.0815186645630998,0.261045886966324,0.374215480766269,0.571628973444879,2607.36856721701,1.0019588105806
