"","mean","se_mean","sd","2.5%","50%","97.5%","n_eff","Rhat"
"M[1]",0.0443237239011639,0.000457157245365978,0.0647734149805853,-0.0841767964677626,0.0441538462351677,0.172777106947093,20075.3152856335,1.00011088132404
"M[2]",0.0955504389593261,0.000517406485911481,0.0769954050265186,-0.0510262436181157,0.094010435602142,0.250970451829498,22144.4999998148,1.00000361240705
"M[3]",-0.149690755146318,0.000485946159253631,0.0684816762660878,-0.284574778461118,-0.149121270502592,-0.0184496441297013,19859.6896131204,1.0001677478398
"M[4]",-0.13684110617118,0.000506402810653874,0.0864726734168914,-0.304903334169929,-0.13719723167629,0.0361991597889939,29158.5253935009,1.00001245477546
"M[5]",-0.0940360364010192,0.000524810399436007,0.0877897134352253,-0.266610772052718,-0.09400223924955,0.080444698551818,27982.2349170841,0.999986996408
"M[6]",0.226081515290598,0.000614419902270352,0.0665827838731955,0.0719591949482007,0.2391526118553,0.32195999900295,11743.3863439979,1.00005127876723
"M[7]",0.0520977558694604,0.000505309322468294,0.0893726953354344,-0.1221762267263,0.051458753371996,0.228725566588198,31282.0416732296,0.999967513839317
"M[8]",-0.00943641519799394,0.000476627632780126,0.0854608573093643,-0.178280101019824,-0.00887918360255097,0.157380010059515,32149.6356819838,1.00008282695312
"M[9]",0.0189639063581801,0.00043434846202901,0.0586847429182551,-0.0977391437462739,0.0193996096043001,0.132307856696719,18254.663706943,1.00030536364145
"M[10]",-0.0372677444886198,0.000510519137127822,0.0840296257633848,-0.203066638698496,-0.0365408849705654,0.12617523231844,27091.9837018678,1.00013273945073
"M[11]",0.02882503743529,0.0005233172913956,0.0944816319155128,-0.156476683992884,0.0283613751577094,0.21529971174493,32596.0219882655,0.999952881211833
"M[12]",-0.0615989383586422,0.000453842542966391,0.070610563440164,-0.20981807030729,-0.0577065042911536,0.0672772853608039,24206.3297951032,1.00021393348593
"M[13]",0.0511501644689559,0.0004130637212345,0.0628746221724997,-0.0689854022506144,0.0498760594565709,0.177303635009861,23169.5004473368,1.00011879207885
